,School Campus,Intervention Type,Scanning Type,School Related,School Hours,Enforcment By,Restraints,Force,Top Charge,SummonsCharge,Classification,Incident Location,Scanning Incident,Greater Than 21,Type Of Force
511,Eagle Academy for Young Men III(QS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
512,Eagle Academy for Young Men of Harlem(MN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
513,Eagle Academy for Young Men of Harlem(MN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
514,EAGLE ACADEMY FOR YOUNG MEN(XW),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,No,None
515,EAGLE ACADEMY FOR YOUNG MEN(XW),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,No,None
516,EAST BRONX ACADEMY FOR THE FUTURE(XE),Arrested,Non-Scanning,N,N,PATROL,Metal,N,ROBBERY,,F,Off-Site,N,No,None
517,EAST BRONX ACADEMY FOR THE FUTURE(XE),Arrested,Non-Scanning,Y,Y,SSA,Metal,N,ASSAULT,,M,On-Site,N,No,None
518,EAST BRONX ACADEMY FOR THE FUTURE(XE),Juvenile Report,Unannounced,Y,Y,SSA,Metal,N,,,V,On-Site,Y,No,None
519,EAST BRONX ACADEMY FOR THE FUTURE(XE),Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,No,None
520,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
521,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
522,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
523,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
524,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
525,EAST BRONX ACADEMY FOR THE FUTURE(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
526,East Brooklyn Community HS(BS),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
527,EAST SIDE COMMUNITY HS(MS) ,Arrested,Non-Scanning,N,Y,DB,Metal,N,ASSAULT,,M,Off-Site,N,Yes,None
528,East West School of International Studies(QN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
529,EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
530,EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
531,EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
532,EDWARD R MURROW HS GED(BS) ,Juvenile Report,Non-Scanning,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,No,None
533,EDWARD R MURROW HS(BS) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
534,EDWARD R MURROW HS(BS) ,Juvenile Report,Non-Scanning,Y,Y,SSA,Metal,N,,,M,On-Site,N,No,None
535,EDWARD R MURROW HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
536,EDWARD R MURROW HS(BS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,TRESPASS,V,On-Site,N,No,None
537,Emma Lazarus HS(MS),Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
538,English Language Learners & International Support Preparatory Academy(XW),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
539,Entrada Academy(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
540,Entrada Academy(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
541,Entrada Academy(XE),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
542,EPIC High School - South (QS),Arrested,Non-Scanning,N,N,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
543,ERASMUS HALL HS(BS) ,Arrested,Full-Time,N,Y,PATROL,Metal,N,VIO LOC/LAW,,M,Off-Site,N,No,None
544,ERASMUS HALL HS(BS) ,Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,Y,No,None
545,ERASMUS HALL HS(BS) ,Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,No,None
546,Esperanza Preparatory Academy(MN),Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
547,Esperanza Preparatory Academy(MN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,No,None
548,Essex Street Academy(MS) ,Child in Crisis,Random,Y,Y,SSA,Metal,Y,,,,On-Site,N,No,Physical Force
549,EVANDER CHILDS EVENING HS(XE),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
550,EVANDER CHILDS HS(XE) ,Arrested,Full-Time,Y,Y,UTF,Metal,N,GRAND LARCENY,,F,On-Site,N,No,None
551,EVANDER CHILDS HS(XE) ,Child in Crisis,Full-Time,Y,Y,SSA,Metal,N,,,,On-Site,N,No,None
552,EVANDER CHILDS HS(XE) ,Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
553,EVANDER CHILDS HS(XE) ,Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
554,EVANDER CHILDS HS(XE) ,Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
555,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
556,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,M,On-Site,Y,No,None
557,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,M,On-Site,N,No,None
558,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,M,On-Site,Y,No,None
559,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,No,None
560,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,No,None
561,EVANDER CHILDS HS(XE) ,Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,N,No,None
562,EVANDER CHILDS HS(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
563,EVANDER CHILDS HS(XE) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
564,EVANDER CHILDS HS(XE) ,PINS / Warrant,Full-Time,Y,Y,SSA,No Restraints,N,,,,Off-Site,N,No,None
565,EVANDER CHILDS HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,DISCON: FIGHTING,V,On-Site,N,No,None
566,EVANDER CHILDS HS(XE) ,Summons,Full-Time,Y,Y,UTF,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
567,Evergreen Middle School for Urban Exploration(BN),Child in Crisis,Random,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
568,Evergreen Middle School for Urban Exploration(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
569,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
570,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
571,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
572,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
573,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
574,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
575,EXCELSIOR PREPARATORY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
576,EXIMIUS COLLEGE PREPARATORY ACADEMY(XE),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
577,FANNIE LOU HAMMER FREEDOM HS(XE) ,Arrested,Non-Scanning,N,Y,PATROL,Metal,N,ASSAULT,,M,Off-Site,N,No,None
578,FANNIE LOU HAMMER FREEDOM HS(XE) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
579,FANNIE LOU HAMMER FREEDOM HS(XE) ,Juvenile Report,Non-Scanning,N,Y,PATROL,Metal,N,,,M,Off-Site,N,No,None
580,FANNIE LOU HAMMER FREEDOM HS(XE) ,PINS / Warrant,Non-Scanning,N,N,PATROL,Metal,N,,,,Off-Site,N,No,None
581,FANNIE LOU HAMMER FREEDOM HS(XE) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
582,FAR ROCKAWAY HS(QS) ,Arrested,Full-Time,Y,Y,PATROL,No Restraints,N,CRIM MISCHIEF,,M,On-Site,N,No,None
583,FAR ROCKAWAY HS(QS) ,Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,V,On-Site,N,No,None
584,FAR ROCKAWAY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
585,FAR ROCKAWAY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
586,FAR ROCKAWAY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
587,FAR ROCKAWAY HS(QS) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
588,FAR ROCKAWAY HS(QS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,No,None
589,FAR ROCKAWAY HS(QS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
590,FAR ROCKAWAY HS(QS) ,Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,DISCON: CREATE HAZARDOUS CONDITION,V,On-Site,Y,No,None
591,FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS(MN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
592,FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS(MN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
593,FLUSHING HS(QN),Arrested,Non-Scanning,Y,Y,SSA,Metal,N,ASSAULT,,F,On-Site,N,No,None
594,FLUSHING HS(QN),Juvenile Report,Non-Scanning,Y,Y,SSA,Metal,N,,,M,On-Site,N,No,None
595,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY(XW) ,Arrested,Full-Time,Y,Y,PATROL,No Restraints,N,ASSAULT,,M,On-Site,N,No,None
596,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY(XW) ,Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,Y,No,None
597,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY(XW) ,Juvenile Report,Full-Time,N,Y,SSA,No Restraints,N,,,V,On-Site,N,No,None
598,FOREST HILLS HS(QN),Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,PETIT LARCENY,,M,On-Site,N,No,None
599,FOREST HILLS HS(QN),Arrested,Non-Scanning,N,N,PATROL,Metal,N,CRIM MISCHIEF,,M,Off-Site,N,No,None
600,FOREST HILLS HS(QN),Arrested,Non-Scanning,Y,Y,SSA,Metal,N,CRIM POS WEAP,,M,On-Site,N,No,None
601,FOREST HILLS HS(QN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
602,FOREST HILLS HS(QN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
603,FOREST HILLS HS(QN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
604,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
605,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
606,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
607,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
608,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
609,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
610,FOREST HILLS HS(QN),Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
611,FOREST HILLS HS(QN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
612,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,STRANGULATION,,F,On-Site,N,No,None
613,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
614,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
615,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,N,N,DB,No Restraints,N,ROBBERY,,F,Off-Site,N,No,None
616,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,N,N,DB,No Restraints,N,ROBBERY,,F,Off-Site,N,No,None
617,FORT HAMILTON HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,No Restraints,N,ASSAULT,,M,On-Site,N,No,None
618,FORT HAMILTON HS(BS) ,Juvenile Report,Non-Scanning,N,Y,PATROL,Metal,N,,,M,Off-Site,N,No,None
619,FORT HAMILTON HS(BS) ,Juvenile Report,Unannounced,Y,Y,SSA,No Restraints,N,,,,On-Site,Y,No,None
620,FORT HAMILTON HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
621,FORT HAMILTON HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
622,FORT HAMILTON HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
623,FORT HAMILTON HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
624,FORT HAMILTON HS(BS) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
625,FORT HAMILTON HS(BS) ,Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
626,FORT HAMILTON HS(BS) ,Mitigated,Unannounced,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
627,FORT HAMILTON HS(BS) ,Summons,Unannounced,Y,Y,UTF,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,Y,No,None
628,FORT HAMILTON HS(BS) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,TRESPASS,V,On-Site,N,No,None
629,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,CPCS,,F,On-Site,N,No,None
630,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,N,N,DB,Metal,N,ROBBERY,,F,Off-Site,N,No,None
631,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,N,N,DB,Metal,N,ROBBERY,,F,Off-Site,N,No,None
632,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,VIO LOC/LAW,,M,On-Site,N,No,None
633,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,CPCS,,M,On-Site,N,No,None
634,FRANCIS LEWIS HS(QN) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,POS FORG INST,,M,On-Site,N,No,None
635,FRANCIS LEWIS HS(QN) ,Juvenile Report,Non-Scanning,Y,Y,UTF,No Restraints,N,,,M,On-Site,N,No,None
636,FRANK SINATRA SCHOOL OF THE ARTS HS(QN) ,Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
637,FRANK SINATRA SCHOOL OF THE ARTS HS(QN) ,Summons,Non-Scanning,Y,Y,PATROL,No Restraints,N,,"MARIJUANA, POSSESSION OF",V,On-Site,N,No,None
638,FRANKLIN DELANO ROOSEVELT HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
639,FRANKLIN DELANO ROOSEVELT HS(BS) ,Arrested,Non-Scanning,Y,Y,PATROL,Metal,N,AGG HARASS,,M,On-Site,N,No,None
640,FRANKLIN DELANO ROOSEVELT HS(BS) ,Child in Crisis,Non-Scanning,Y,Y,PATROL,Metal,N,,,,On-Site,N,No,None
641,FRANKLIN DELANO ROOSEVELT HS(BS) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,,,,,On-Site,N,No,
642,FRANKLIN K LANE HS(BN),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
643,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
644,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
645,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
646,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
647,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
648,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
649,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
650,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
651,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
652,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
653,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
654,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
655,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
656,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
657,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
658,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
659,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
660,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
661,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
662,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
663,FRANKLIN K LANE HS(BN),Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
664,FRANKLIN K LANE HS(BN),PINS / Warrant,Full-Time,N,Y,PATROL,No Restraints,N,,,,Off-Site,N,No,None
665,FREDERICK DOUGLASS ACADEMY I(MN) ,Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,No,None
666,FREDERICK DOUGLASS ACADEMY I(MN) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
667,FREDERICK DOUGLASS ACADEMY I(MN) ,Mitigated,Non-Scanning,N,Y,DOE,No Restraints,,,,,On-Site,N,No,
668,FREDERICK DOUGLASS ACADEMY I(MN) ,Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
669,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL(XE) ,Mitigated,Full-Time,N,Y,DOE,No Restraints,N,,,,Off-Site,N,No,None
670,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL(XW),Juvenile Report,Non-Scanning,N,Y,PATROL,No Restraints,N,,,M,On-Site,N,No,None
671,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL(BN),Child in Crisis,Non-Scanning,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
672,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
673,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
674,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,Off-Site,N,No,None
675,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,Off-Site,N,No,None
676,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),Juvenile Report,Non-Scanning,Y,Y,PATROL,No Restraints,N,,,V,Off-Site,N,No,None
677,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),Mitigated,Non-Scanning,Y,Y,DOE,No Restraints,,,,,On-Site,N,No,
678,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
679,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
680,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
681,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
682,GEORGE WASHINGTON HS(MN),Arrested,Full-Time,Y,Y,PATROL,Metal,N,ARSON,,M,On-Site,N,No,None
683,GEORGE WASHINGTON HS(MN),Arrested,Full-Time,Y,Y,PATROL,Metal,N,ASSAULT,,M,On-Site,N,No,None
684,GEORGE WASHINGTON HS(MN),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
685,GEORGE WASHINGTON HS(MN),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
686,GEORGE WASHINGTON HS(MN),Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
687,GEORGE WASHINGTON HS(MN),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,M,On-Site,Y,No,None
688,GEORGE WASHINGTON HS(MN),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,No,None
689,GEORGE WASHINGTON HS(MN),Juvenile Report,Full-Time,Y,Y,PATROL,No Restraints,N,,,M,On-Site,N,No,None
690,GEORGE WASHINGTON HS(MN),Juvenile Report,Full-Time,Y,Y,SSA,No Restraints,N,,,V,On-Site,Y,No,None
691,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
692,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
693,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
694,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
695,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
696,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
697,GEORGE WASHINGTON HS(MN),Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,N,No,None
698,GEORGE WASHINGTON HS(MN),PINS / Warrant,Full-Time,Y,Y,PATROL,Metal,N,,,,On-Site,N,No,None
699,GEORGE WASHINGTON HS(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,N,No,None
700,GEORGE WASHINGTON HS(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,POSS. OF KNIFE,V,On-Site,Y,No,None
701,GEORGE WASHINGTON HS(MN),Summons,Full-Time,Y,Y,PATROL,No Restraints,N,,BOX CUTTER,V,On-Site,Y,No,None
702,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
703,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,Child in Crisis,Full-Time,Y,Y,,No Restraints,N,,,,On-Site,N,No,None
704,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,Child in Crisis,Full-Time,N,Y,,No Restraints,N,,,,On-Site,N,No,None
705,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,Mitigated,Full-Time,Y,Y,DOE,No Restraints,N,,,,On-Site,Y,No,None
